C1	6.35	69.85	90.00	10uF	CAPC3225X135
IC1	13.97	71.12	0.00	LM7805_SOT223	SOT230P700X170-4
J1	102.06	7.19	180.00	DC IN	694108106102
R1	7.62	86.11	270.00	220	RESC2012X65
R10	56.77	85.47	270.00	220	RESC2012X65
R11	62.36	85.34	270.00	220	RESC2012X65
R12	68.33	85.34	270.00	220	RESC2012X65
R13	73.79	85.47	270.00	220	RESC2012X65
R14	80.14	85.47	270.00	220	RESC2012X65
R15	86.11	85.34	270.00	220	RESC2012X65
R16	64.77	67.31	0.00	220	RESC2012X65
R17	25.40	68.58	0.00	10K	RESC2012X65
R19	20.32	-16.51	0.00	1K	RESC2012X65
R2	12.70	86.11	270.00	220	RESC2012X65
R20	89.96	24.02	270.00	8.2K	RESC2012X65
R21	19.69	-5.71	270.00	1K	RESC2012X65
R3	18.03	85.98	270.00	220	RESC2012X65
R34	17.78	12.70	0.00	100	RESC2012X65
R4	23.62	85.98	270.00	220	RESC2012X65
R5	28.96	85.98	270.00	220	RESC2012X65
R6	34.54	85.85	270.00	220	RESC2012X65
R7	39.88	85.73	270.00	220	RESC2012X65
R8	45.09	85.73	270.00	220	RESC2012X65
R9	51.18	85.47	270.00	220	RESC2012X65
U1	39.37	71.12	180.00	PCA9685PW,112	SOP65P640X110-28N
